Date,Open,High,Low,Close,Volume,OpenInt
20121128,1.238,1.2404,1.2359,1.2365,0,0
20121129,1.2365,1.2374,1.2326,1.2362,0,0
20121130,1.2362,1.2366,1.2296,1.2333,0,0
20121203,1.233,1.2335,1.2298,1.2324,0,0
20121204,1.2325,1.2344,1.2286,1.2295,0,0
20121205,1.2295,1.2328,1.2273,1.2311,0,0
20121206,1.2311,1.2398,1.2307,1.238,0,0
20121207,1.238,1.2429,1.2373,1.2407,0,0
20121210,1.2431,1.2445,1.2409,1.2422,0,0
20121211,1.2422,1.2432,1.2381,1.2388,0,0
20121212,1.2388,1.2403,1.2345,1.2347,0,0
20121213,1.2346,1.2361,1.2315,1.2322,0,0
20121214,1.2322,1.2348,1.2277,1.2283,0,0
20121217,1.2272,1.2326,1.227,1.231,0,0
20121218,1.231,1.2318,1.2278,1.2285,0,0
20121219,1.2285,1.2316,1.2243,1.2311,0,0
20121220,1.2311,1.2311,1.2253,1.2288,0,0
20121221,1.2288,1.2323,1.2261,1.2266,0,0
20121224,1.226,1.2271,1.2217,1.2228,0,0
20121226,1.2235,1.2239,1.2182,1.2204,0,0
20121227,1.2203,1.2217,1.2158,1.2166,0,0
20121228,1.2166,1.2244,1.2158,1.2232,0,0
20121231,1.2233,1.234,1.2214,1.2311,0,0
20130102,1.23,1.2336,1.2272,1.2322,0,0
20130103,1.2322,1.2367,1.2314,1.2337,0,0
20130104,1.2336,1.235,1.2279,1.2297,0,0
20130107,1.2293,1.2337,1.227,1.2286,0,0
20130108,1.2287,1.229,1.2252,1.2276,0,0
20130109,1.2276,1.2294,1.2251,1.2269,0,0
20130110,1.2269,1.2278,1.2177,1.2184,0,0
20130111,1.2184,1.2188,1.2067,1.2089,0,0
20130114,1.2068,1.2076,1.201,1.2016,0,0
20130115,1.2016,1.2098,1.2012,1.2078,0,0
20130116,1.2078,1.2097,1.2021,1.2037,0,0
20130117,1.2037,1.2048,1.1954,1.196,0,0
20130118,1.196,1.1968,1.191,1.1925,0,0
20130121,1.1911,1.1936,1.1875,1.1892,0,0
20130122,1.1892,1.1956,1.1847,1.1889,0,0
20130123,1.1889,1.1935,1.1876,1.1894,0,0
20130124,1.1894,1.1916,1.1791,1.1802,0,0
20130125,1.1802,1.1817,1.1715,1.1741,0,0
20130128,1.1721,1.1726,1.1647,1.167,0,0
20130129,1.167,1.1726,1.1668,1.1683,0,0
20130130,1.1683,1.1685,1.1619,1.1641,0,0
20130131,1.1641,1.169,1.1638,1.1672,0,0
20130201,1.1672,1.1674,1.1473,1.1505,0,0
20130204,1.1505,1.1671,1.1502,1.1665,0,0
20130205,1.1664,1.169,1.1511,1.1531,0,0
20130206,1.153,1.1606,1.1519,1.1588,0,0
20130207,1.1587,1.1742,1.1545,1.1732,0,0
20130208,1.1732,1.1838,1.1718,1.182,0,0
20130211,1.1809,1.1824,1.1663,1.1676,0,0
20130212,1.1676,1.1708,1.1586,1.1655,0,0
20130213,1.1655,1.1667,1.1516,1.1554,0,0
20130214,1.1553,1.1647,1.1539,1.16,0,0
20130215,1.16,1.1661,1.1584,1.1613,0,0
20130218,1.1608,1.1622,1.1564,1.1586,0,0
20130219,1.1586,1.1626,1.1514,1.1523,0,0
20130220,1.1521,1.1525,1.141,1.1467,0,0
20130221,1.1467,1.1588,1.1419,1.1561,0,0
20130222,1.1561,1.1621,1.1499,1.1506,0,0
20130225,1.1439,1.1624,1.1344,1.1611,0,0
20130226,1.1615,1.166,1.1563,1.158,0,0
20130227,1.158,1.1597,1.1522,1.1542,0,0
20130228,1.1542,1.1624,1.1524,1.1608,0,0
20130301,1.1608,1.1615,1.1515,1.1549,0,0
20130304,1.155,1.1609,1.154,1.1604,0,0
20130305,1.1603,1.1643,1.1581,1.1595,0,0
20130306,1.1595,1.1602,1.1535,1.1549,0,0
20130307,1.1546,1.1576,1.145,1.1455,0,0
20130308,1.1456,1.1525,1.1439,1.1477,0,0
20130311,1.1478,1.149,1.1429,1.1439,0,0
20130312,1.1439,1.1469,1.1371,1.1435,0,0
20130313,1.1436,1.1542,1.1433,1.1515,0,0
20130314,1.1515,1.1611,1.1514,1.1591,0,0
20130315,1.1592,1.1624,1.1548,1.156,0,0
20130318,1.1709,1.172,1.1639,1.1661,0,0
20130319,1.1662,1.1757,1.1645,1.1738,0,0
20130320,1.1738,1.1738,1.1626,1.167,0,0
20130321,1.167,1.1778,1.1663,1.1762,0,0
20130322,1.1762,1.1785,1.1702,1.1725,0,0
20130325,1.1744,1.1824,1.168,1.1801,0,0
20130326,1.1801,1.1821,1.1767,1.1788,0,0
20130327,1.1788,1.1852,1.1784,1.1839,0,0
20130328,1.1839,1.1882,1.1798,1.1855,0,0
20130329,1.1854,1.187,1.1845,1.1859,0,0
20130401,1.1864,1.1889,1.1841,1.1855,0,0
20130402,1.1855,1.1868,1.1773,1.178,0,0
20130403,1.178,1.1807,1.1772,1.1783,0,0
20130404,1.1783,1.1854,1.1735,1.1777,0,0
20130405,1.1775,1.1802,1.174,1.18,0,0
20130408,1.1799,1.1815,1.1719,1.1725,0,0
20130409,1.1726,1.1755,1.1682,1.1712,0,0
20130410,1.1712,1.1738,1.1682,1.1729,0,0
20130411,1.1729,1.1758,1.1716,1.1739,0,0
20130412,1.1739,1.1778,1.1696,1.1703,0,0
20130415,1.1705,1.1743,1.1697,1.1721,0,0
20130416,1.1721,1.1732,1.1627,1.166,0,0
20130417,1.1659,1.1717,1.1578,1.1692,0,0
20130418,1.1692,1.1723,1.1663,1.1707,0,0
20130419,1.1709,1.1759,1.1652,1.167,0,0
20130422,1.1655,1.1707,1.1641,1.1705,0,0
20130423,1.1704,1.175,1.167,1.1719,0,0
20130424,1.1719,1.1768,1.1712,1.1731,0,0
20130425,1.1732,1.1887,1.1721,1.1864,0,0
20130426,1.1864,1.1908,1.1837,1.1876,0,0
20130429,1.1857,1.1898,1.1823,1.1833,0,0
20130430,1.1833,1.1869,1.1785,1.1798,0,0
20130501,1.1799,1.182,1.1769,1.1799,0,0
20130502,1.1799,1.1898,1.1789,1.1891,0,0
20130503,1.1891,1.1895,1.1814,1.1869,0,0
20130506,1.1867,1.1903,1.1851,1.1887,0,0
20130507,1.1887,1.1892,1.1811,1.1837,0,0
20130508,1.1837,1.1843,1.178,1.1808,0,0
20130509,1.181,1.186,1.18,1.184,0,0
20130510,1.1838,1.186,1.182,1.1828,0,0
20130513,1.1832,1.1858,1.1775,1.1787,0,0
20130514,1.1787,1.18,1.1744,1.1768,0,0
20130515,1.1768,1.1855,1.1764,1.1821,0,0
20130516,1.182,1.1874,1.1815,1.1855,0,0
20130517,1.1855,1.1862,1.1813,1.1823,0,0
20130520,1.1825,1.1847,1.1807,1.1842,0,0
20130521,1.1843,1.1847,1.1736,1.1739,0,0
20130522,1.174,1.1741,1.1641,1.1705,0,0
20130523,1.1704,1.1721,1.1667,1.1683,0,0
20130524,1.1682,1.1715,1.1632,1.1694,0,0
20130527,1.1696,1.1716,1.1665,1.1683,0,0
20130528,1.1684,1.1706,1.1679,1.1698,0,0
20130529,1.1699,1.171,1.1633,1.1691,0,0
20130530,1.169,1.1702,1.163,1.1677,0,0
20130531,1.1676,1.1725,1.1658,1.169,0,0
20130603,1.1697,1.1761,1.1691,1.1721,0,0
20130604,1.1721,1.1734,1.1685,1.1707,0,0
20130605,1.1707,1.1776,1.1698,1.1767,0,0
20130606,1.1768,1.1797,1.1736,1.1771,0,0
20130607,1.1769,1.179,1.1728,1.1768,0,0
20130610,1.1773,1.1782,1.174,1.1748,0,0
20130611,1.1748,1.1763,1.1695,1.1753,0,0
20130612,1.1753,1.1806,1.1745,1.1754,0,0
20130613,1.1754,1.1798,1.1708,1.1753,0,0
20130614,1.1754,1.1779,1.1718,1.1768,0,0
